Functional Unit,Gene Symbols
fu:282f2b98,DUSP10 DUSP2 DUSP4 DUSP5 DUSP7 DUSP8 DUSP9 DUSP16
fu:de327064,RRAS2 MRAS HRAS KRAS NRAS RRAS
